Wavenumber,Std_1,Std_2,Std_3,Std_4,Std_5,Std_6,Std_7,Std_8,Std_9,Std_10,Std_11,Std_12,Std_13,Std_14,Std_15,Std_16,Std_17,Std_18,Std_19,Std_20,Std_21,Std_22,Std_23,Std_24,Std_25,Std_26,Std_27,Std_28,Std_29,Std_30
940,0.007020341,0.022428282,0.123127144,0.128288134,0.071821659,0.000895875,0.055465752,0.119134023,0.050620432,0.070111591,0.111023404,0.000608122,0.02096799,0.006056639,0.112076094,0.033486772,0.047286693,0.043429135,0.066429795,0.002411848,0.049217055,0.005216778,0.018237068,0.02035479,0.037919591,0.024927358,0.024641685,0.072311306,0.022050392,0.015374008
944,0.031456262,0.047373087,0.171370017,0.183961662,0.120360789,0.007296182,0.09650733,0.169245002,0.085730167,0.121410353,0.165419665,0.006052511,0.045719445,0.00036641,0.158004731,0.061696815,0.068694562,0.077170583,0.110175658,0.017776333,0.086625179,0.005465951,0.044179692,0.048062617,0.069591921,0.052861265,0.053812439,0.092874804,0.040937872,0.033303041
948,0.069703126,0.084019466,0.221821657,0.243189394,0.178038909,0.016081863,0.146304096,0.222613843,0.131749703,0.181957919,0.224664913,0.022399462,0.082398946,0.006578944,0.206844357,0.094793287,0.094842982,0.118047293,0.161234131,0.04176064,0.133431993,0.024621117,0.07848942,0.083528114,0.108904429,0.088450278,0.095558374,0.122851457,0.065301762,0.056491888
952,0.118890914,0.130865708,0.270326478,0.3006169,0.240551563,0.03399068,0.201970925,0.274739809,0.185715576,0.247861863,0.284425331,0.049757936,0.12939962,0.024058142,0.254916789,0.131497157,0.124645616,0.164076896,0.216736029,0.075745385,0.186730219,0.054159385,0.120334481,0.125693045,0.154350916,0.130711241,0.143004548,0.159857059,0.094879799,0.085022293
956,0.177124738,0.184416017,0.323992263,0.364077647,0.30222991,0.063135367,0.258748357,0.332626822,0.24319355,0.31269447,0.337706317,0.084050205,0.183424375,0.054686045,0.307613316,0.170008691,0.16425563,0.212029886,0.272401932,0.115280381,0.241753962,0.090346828,0.167414078,0.172530029,0.20269742,0.177153577,0.193916752,0.203557446,0.129740144,0.118694772
960,0.241219932,0.24112927,0.375077806,0.42391304,0.357976445,0.098378449,0.311717275,0.39041498,0.299343328,0.370077328,0.395322349,0.124814942,0.240951236,0.0927903,0.358139823,0.208073872,0.208534641,0.258553485,0.322851946,0.159422702,0.293708408,0.133016648,0.217043204,0.22132923,0.250417838,0.225059158,0.24587805,0.251623971,0.166625438,0.154529344
964,0.306170462,0.29409671,0.420912289,0.475919861,0.418105132,0.13778105,0.368141771,0.44062414,0.362420894,0.428708875,0.44908463,0.169073391,0.295369847,0.136262894,0.404048921,0.249627564,0.258165101,0.309231992,0.377319065,0.204353236,0.349600861,0.178828528,0.263817765,0.267116675,0.301648748,0.268771499,0.292930788,0.30480251,0.212017947,0.191976355
968,0.366656487,0.350603903,0.468025211,0.51958449,0.47415733,0.178885701,0.420048219,0.483897962,0.424145696,0.477721784,0.493076992,0.213505422,0.352952566,0.182638518,0.45124997,0.290992177,0.312577492,0.356119703,0.427979964,0.245265215,0.401542621,0.223409185,0.313561925,0.31668946,0.349106883,0.31335766,0.34314131,0.368326817,0.263068064,0.235181718
972,0.429853489,0.402961647,0.513743965,0.562443616,0.521173425,0.217492698,0.463200151,0.526955786,0.479483406,0.518517951,0.537071752,0.25276631,0.407075497,0.227366962,0.497639928,0.329093996,0.377641849,0.397727171,0.482333651,0.287937059,0.445206732,0.262008885,0.359251287,0.36425967,0.390217664,0.353316077,0.390355049,0.437600184,0.319740182,0.284297812
976,0.487156075,0.444185129,0.553346782,0.599508863,0.558527731,0.258583014,0.505694025,0.565324645,0.528688624,0.5579114,0.576862494,0.293687485,0.451463546,0.264526892,0.539171739,0.370017011,0.451669151,0.439820553,0.536978196,0.324133497,0.480368944,0.300018111,0.398009157,0.405297073,0.431637281,0.394322802,0.427557065,0.514187737,0.390360737,0.345259138
980,0.546576615,0.477772994,0.590119635,0.632929899,0.59570806,0.298036099,0.545975733,0.601065784,0.570626455,0.594591191,0.614033003,0.330716221,0.489322732,0.304149236,0.578821329,0.410171465,0.531252799,0.48114292,0.589429172,0.356879199,0.517299784,0.33365705,0.439253134,0.450125289,0.473028046,0.434460997,0.46819521,0.592025243,0.468264281,0.413802469
984,0.601094472,0.513442497,0.625768515,0.66513554,0.630543593,0.333030043,0.585472891,0.636327662,0.614345864,0.630960815,0.650414047,0.361152693,0.530230002,0.338120987,0.618145054,0.44988991,0.610050302,0.518622606,0.641081614,0.395024471,0.553781344,0.371601886,0.481261024,0.495948506,0.512797586,0.473445738,0.509941465,0.666881405,0.551004641,0.489249336
988,0.653641431,0.550387015,0.662147854,0.697772815,0.665800855,0.364047791,0.62610997,0.672821237,0.657630427,0.668922402,0.687703456,0.395584174,0.572601317,0.367057719,0.658764699,0.4877824,0.684192297,0.555793361,0.691974848,0.436157892,0.592099593,0.411236879,0.523387459,0.541776929,0.554540123,0.515577218,0.556709583,0.735511047,0.631414214,0.565002291
992,0.702334628,0.592421936,0.702781441,0.734339733,0.706026621,0.401004303,0.671325081,0.713929054,0.703344117,0.712471023,0.729362636,0.433275862,0.619998769,0.402106751,0.704025812,0.52690812,0.748865211,0.5951011,0.743423926,0.485976734,0.635972665,0.456724216,0.569917983,0.592833801,0.601698442,0.56531516,0.608096589,0.794979733,0.704932023,0.637347701
996,0.748424604,0.63950505,0.746546812,0.774093907,0.750798353,0.443849792,0.719904573,0.758253586,0.750612273,0.759667262,0.773591246,0.473383107,0.671315252,0.443551031,0.751977879,0.568999639,0.802141111,0.637467982,0.793658285,0.541093416,0.684296654,0.506153429,0.620502495,0.648230751,0.653247596,0.621349286,0.665294857,0.843810746,0.76856437,0.702868609
1000,0.792628293,0.692792376,0.794116212,0.817618789,0.801446477,0.489669983,0.772899391,0.806779249,0.800677482,0.811250045,0.821079584,0.519762671,0.727196471,0.488104142,0.802781271,0.615949179,0.842428041,0.684969248,0.843951021,0.604416841,0.738107682,0.563135177,0.676204946,0.709292289,0.709988,0.68465074,0.729539433,0.881705563,0.820189553,0.758627214
1004,0.835847185,0.748760165,0.84151352,0.861261295,0.852613726,0.540984564,0.825364925,0.854675674,0.849600008,0.861566285,0.867147746,0.571948073,0.783214383,0.538657565,0.852060412,0.666513244,0.872887202,0.734877747,0.890321203,0.67109366,0.792324725,0.624379267,0.733322145,0.771160876,0.767381715,0.749221482,0.79466595,0.910870184,0.861194332,0.804999956
1008,0.889738107,0.808923099,0.888898518,0.907933953,0.905600521,0.599386105,0.874736347,0.899927824,0.897324783,0.907830519,0.910019042,0.630533679,0.837283294,0.597741777,0.898631699,0.720992814,0.897532774,0.786194424,0.9308642,0.737120328,0.84286155,0.68802363,0.790043186,0.830620498,0.822647665,0.80916119,0.858517074,0.935009209,0.893715074,0.842575718
1012,0.940711799,0.865392721,0.930359002,0.949192945,0.951337435,0.661880082,0.917220285,0.938219261,0.938232904,0.945921259,0.945808927,0.692182551,0.88545132,0.661224628,0.938023028,0.776201296,0.919009554,0.835660021,0.962297397,0.798735342,0.887482219,0.750635296,0.84270533,0.88309996,0.872151819,0.862013934,0.913608334,0.954495909,0.920601277,0.875103539
1016,0.967428009,0.908016399,0.959665723,0.972988757,0.977703133,0.726222392,0.951484154,0.967110019,0.967506297,0.973009236,0.971882781,0.755121123,0.92592495,0.724467191,0.966929122,0.831708541,0.943928615,0.883381684,0.985695753,0.855289087,0.927729471,0.810624588,0.889730453,0.927193693,0.914725896,0.910649938,0.952687687,0.974616311,0.947561625,0.90823007
1020,0.977064257,0.939302893,0.978181516,0.984095063,0.989336717,0.789714857,0.976041681,0.986025488,0.985397518,0.989398064,0.988075641,0.816174092,0.95723318,0.785978421,0.985195386,0.883208764,0.965775827,0.925394502,0.998330042,0.904075332,0.960294149,0.865276969,0.929093419,0.960770178,0.948762,0.950793605,0.977419363,0.989108872,0.969288614,0.937673947
1024,0.991677386,0.968818223,0.99335333,0.995395217,0.998562333,0.855969587,0.993309406,0.99809382,0.997377411,0.99937155,0.998583792,0.877691108,0.981929084,0.851178837,0.997420048,0.931912759,0.986704863,0.962051524,1,0.944831172,0.984364651,0.916398647,0.962614534,0.984736652,0.976112159,0.979743822,0.993869988,0.99921515,0.989152745,0.967152664
1028,1,0.990453806,1,1,1,0.916208855,1,1,1,1,1,0.932087346,0.99654124,0.911366587,1,0.970670904,0.999602352,0.987955636,0.989675966,0.974917896,0.997533006,0.958060985,0.986561547,0.997487727,0.993410928,0.995786662,1,1,1,0.988861244
1032,0.991621434,1,0.995040373,0.992946491,0.990100123,0.964965616,0.995256182,0.99098615,0.991876241,0.99073812,0.991149535,0.974670432,1,0.960980334,0.991673561,0.994696692,1,1,0.969181816,0.994644844,1,0.987374173,1,1,1,1,0.996059583,0.988169235,0.998280056,1
1036,0.964915643,0.994127985,0.975746571,0.971390944,0.965836991,0.995494934,0.976833663,0.969160945,0.971268961,0.969462386,0.970097491,0.999437178,0.989294781,0.993193041,0.970131097,1,0.98614767,0.995182546,0.938652057,1,0.988890098,1,0.999354103,0.989596579,0.992751128,0.989237033,0.979512812,0.963286719,0.982878404,0.997002549
1040,0.915064054,0.969154152,0.939575598,0.931534699,0.924556435,1,0.94359448,0.933690234,0.937591431,0.93539403,0.935850054,1,0.962468287,1,0.933914501,0.982218139,0.954424184,0.970859366,0.90058803,0.98863779,0.962981393,0.991748389,0.981893369,0.96580102,0.969627693,0.962578447,0.949985662,0.924033016,0.950850434,0.974352518
1044,0.855019294,0.931116584,0.891774817,0.881142589,0.87240484,0.982086697,0.898590827,0.887643663,0.894153554,0.891265429,0.891636608,0.979184565,0.923056334,0.985111412,0.88724544,0.945624328,0.910882381,0.930519031,0.85528393,0.961750213,0.923990066,0.965151037,0.95029513,0.929552354,0.933359812,0.921311347,0.909929905,0.875647954,0.907411575,0.937062776
1048,0.796136912,0.886964867,0.838671918,0.828311058,0.816944582,0.94580053,0.846807056,0.836135036,0.846377326,0.841870029,0.842456557,0.940626034,0.876377074,0.952436952,0.836033657,0.895864945,0.863103592,0.879273267,0.80518428,0.922947766,0.875736674,0.924660279,0.908949821,0.884488217,0.888686237,0.86943968,0.864366172,0.825062156,0.859317444,0.891503632
1052,0.731283102,0.837205443,0.78256653,0.771548342,0.756686209,0.897519936,0.793460909,0.782854202,0.795556955,0.790771863,0.791654588,0.891203311,0.827323119,0.906768093,0.783305814,0.839838408,0.815418226,0.823968185,0.754592991,0.87892714,0.825411879,0.876666653,0.863067165,0.83572382,0.841083602,0.816229881,0.81468908,0.776417749,0.811203297,0.84313292
