wavenumber,c1,c2,c3,c4,c5,c6
1692,0.024837755,0.032310017,0.010557403,0.012701981,0.046423053,0.013589242
1696,0.010585829,0.017954726,0.000628713,0.000157413,0.027701959,0.000140031
1700,0.00031064,0.003785179,0.005047151,0.005676105,0.011445011,0.005833023
1704,0.004947778,0.002801219,0.005356282,0.006200564,0.001096085,0.006485745
1708,0.005071141,0.001277014,0,0,0.005430623,0
1712,0,0.010249839,0,0,0.005864525,0
1716,0,0.022984746,0,0,0,0
1720,0,0.028151802,0,0,0,0
1724,0,0.029836049,0,0,0,0
1728,0,0.028037486,0,0,0,0
1732,0,0.022756114,0,0,0,0
1736,0,0.013991933,0,0,0,0
1740,0,0.001744943,0,0,0,0
1744,0,0.003160115,0,0,0,0
1748,0,0.004076546,0,0,0,0
1752,0,0,0,0,0,0
1756,0,0,0,0,0,0
1760,0,0,0,0,0,0
1764,0,0,0,0,0,0
1768,0,0,0,0,0,0
1772,0,0,0,0,0,0
1776,0,0,0,0,0,0
1780,0,0,0,0,0,0
1784,0,0,0,0,0,0
1788,0,0,0,0,0,0
1792,0,0,0,0,0,0
1796,0,0,0,0,0,0
1800,0,0,0,0,0,0
