wavenumber,Std_1,Std_2,Std_3,Std_4,Std_5,Std_6,Std_7,Std_8,Std_9,Std_10,Std_11,Std_12,Std_13,Std_14,Std_15,Std_16,Std_17,Std_18,Std_19,Std_20,Std_21,Std_22,Std_23,Std_24,Std_25,Std_26,Std_27,Std_28,Std_29,Std_30
1057,0.10924,0.11853,0.14489,0.18663,0.03096,0.09522,0.16548,0.12252,0.1625,0.16036,0.11676,0.12394,0.07787,0.08466,0.12579,0.09375,0.19143,0.05268,0.09847,0.06407,0.08348,0.11384,0.08051,0.18595,0.09903,0.17569,0.08883,0.22268,0.07034,0.14879
1065,0.10409,0.11361,0.14119,0.17697,0.02964,0.09295,0.15586,0.11657,0.15451,0.15078,0.11018,0.11774,0.07354,0.08108,0.1227,0.08976,0.18523,0.05123,0.09369,0.06366,0.07929,0.10462,0.07687,0.17476,0.09436,0.16852,0.08382,0.20919,0.06862,0.14212
1072,0.1003,0.1098,0.1375,0.16981,0.02864,0.08874,0.14956,0.11283,0.1481,0.1433,0.10728,0.11541,0.06981,0.07899,0.12238,0.08722,0.17681,0.04971,0.08956,0.06704,0.07553,0.09844,0.07604,0.16704,0.09059,0.16307,0.07995,0.19802,0.06835,0.13657
1080,0.09175,0.09988,0.12328,0.15354,0.02607,0.07796,0.13624,0.10339,0.1334,0.12832,0.09975,0.10787,0.06271,0.07216,0.11351,0.08062,0.15559,0.04479,0.08068,0.06441,0.06799,0.08894,0.0716,0.15198,0.08178,0.14825,0.07202,0.17687,0.0631,0.12304
1088,0.0787,0.08528,0.09744,0.13149,0.02259,0.06167,0.11638,0.08892,0.11659,0.11037,0.0872,0.09406,0.05338,0.06168,0.09772,0.06954,0.12452,0.03545,0.06924,0.05551,0.05845,0.076,0.063,0.13066,0.07009,0.12663,0.06148,0.14929,0.05408,0.10407
1095,0.06527,0.07078,0.0773,0.1101,0.01917,0.04967,0.09774,0.07469,0.09954,0.09376,0.07447,0.08053,0.04434,0.05147,0.08123,0.05826,0.10067,0.02771,0.05791,0.04695,0.04963,0.06492,0.05395,0.11035,0.0586,0.10535,0.05106,0.12277,0.04493,0.08578
1103,0.05427,0.05919,0.07194,0.09227,0.0159,0.04757,0.08441,0.0637,0.08353,0.07897,0.0645,0.07028,0.03691,0.04298,0.06737,0.04921,0.09243,0.02585,0.04836,0.04097,0.04235,0.05624,0.04729,0.09364,0.04893,0.08864,0.04259,0.10167,0.03711,0.07153
1111,0.04666,0.05112,0.06373,0.08037,0.01355,0.04227,0.07455,0.05547,0.07118,0.0677,0.05735,0.06308,0.03195,0.03736,0.05794,0.04292,0.08062,0.02323,0.04203,0.03557,0.03652,0.04923,0.0423,0.08249,0.04256,0.07671,0.03679,0.08767,0.03215,0.06163
1119,0.04081,0.04526,0.04982,0.0722,0.01199,0.032,0.06543,0.04877,0.06278,0.05876,0.05133,0.05605,0.02869,0.03333,0.05155,0.03819,0.06385,0.01778,0.03799,0.0306,0.03174,0.04273,0.03766,0.07348,0.03815,0.06808,0.03282,0.07802,0.02897,0.05469
1126,0.03827,0.04225,0.04305,0.06739,0.0111,0.02607,0.0573,0.04412,0.05813,0.05372,0.04587,0.04987,0.02697,0.03133,0.04823,0.03566,0.05537,0.01528,0.03621,0.02825,0.02895,0.03955,0.03335,0.06577,0.036,0.06333,0.03078,0.07346,0.02755,0.05119
1134,0.03631,0.03986,0.04186,0.06312,0.01057,0.02428,0.04844,0.03993,0.05524,0.05062,0.03956,0.04301,0.0253,0.02929,0.0455,0.03367,0.05462,0.01483,0.03457,0.02697,0.02731,0.0377,0.02871,0.05768,0.03414,0.05939,0.02889,0.06918,0.02611,0.04869
1142,0.03484,0.03856,0.04602,0.06081,0.01066,0.02673,0.04273,0.03754,0.05514,0.05064,0.03487,0.03851,0.02439,0.02836,0.04344,0.03246,0.06002,0.01648,0.03427,0.02755,0.02741,0.03893,0.02521,0.05185,0.03314,0.05705,0.02754,0.06643,0.02519,0.04741
1149,0.03319,0.03648,0.0488,0.05684,0.00997,0.02882,0.03887,0.03536,0.05146,0.04841,0.0318,0.03543,0.02285,0.0266,0.04089,0.03101,0.06181,0.01768,0.03212,0.02726,0.02616,0.03868,0.02322,0.04739,0.03115,0.05406,0.02583,0.06305,0.02371,0.04444
1157,0.02747,0.03003,0.04397,0.04609,0.00747,0.0263,0.03109,0.02933,0.03929,0.03865,0.02612,0.02946,0.01857,0.02129,0.0334,0.02593,0.05322,0.01623,0.02601,0.02245,0.02062,0.0321,0.0192,0.03822,0.02509,0.04458,0.02117,0.05177,0.01907,0.03601
1165,0.01911,0.02061,0.02784,0.03191,0.00451,0.01663,0.02085,0.02061,0.02491,0.02577,0.0189,0.02109,0.01247,0.01438,0.0231,0.01816,0.03331,0.01038,0.01784,0.01433,0.01326,0.02094,0.01384,0.02609,0.01711,0.03087,0.01454,0.03588,0.01294,0.02416
1173,0.00956,0.01025,0.01137,0.01616,0.00169,0.007,0.01086,0.01044,0.01092,0.01169,0.01147,0.01287,0.00555,0.00658,0.01151,0.00943,0.0137,0.00417,0.00836,0.00618,0.00564,0.0087,0.00839,0.01379,0.00814,0.01581,0.00725,0.01796,0.00613,0.0111
