Std_1,Std_2,Std_3,Std_4,Std_5,Std_6,Std_7,Std_8,Std_9,Std_10,Std_11,Std_12,Std_13,Std_14,Std_15,Std_16,Std_17,Std_18,Std_19,Std_20,Std_21,Std_22,Std_23,Std_24,Std_25,Std_26,Std_27,Std_28,Std_29,Std_30
0.1310736,0.1157494,0.09611315,0.1008073,0.1245337,0.1013994,0.0967547,0.09635026,0.1065683,0.1160769,0.100058,0.09903664,0.1122361,0.1123968,0.09299478,0.07767224,0.04909052,0.08584363,0.09602221,0.1261111,0.1049106,0.1151447,0.1139453,0.108967,0.1145256,0.1098858,0.1327589,0.05575317,0.05939563,0.07130605
0.1293088,0.1142989,0.0942946,0.09900475,0.1217003,0.09971198,0.09510645,0.09472854,0.1044186,0.1139627,0.09817271,0.09729028,0.1106795,0.1106554,0.09135369,0.07621387,0.04787181,0.08430271,0.09417853,0.1244772,0.1032692,0.1132743,0.1122503,0.1070014,0.1129409,0.1083757,0.1303379,0.05464921,0.05836104,0.07000105
0.1274927,0.1128135,0.09244423,0.09716251,0.1188312,0.09802917,0.09345773,0.09312792,0.102279,0.1118398,0.09628632,0.09555455,0.1091099,0.1089218,0.08970111,0.07476295,0.04665399,0.08275596,0.09231596,0.1228025,0.1015986,0.1114026,0.110544,0.1050386,0.1113356,0.1068455,0.1279221,0.0535139,0.05731521,0.06867346
0.1256205,0.1112886,0.090559,0.09527892,0.1159231,0.09635128,0.09180604,0.09154494,0.1001505,0.1097063,0.09439794,0.09383351,0.1075259,0.1071953,0.08803802,0.07331938,0.04543876,0.08120509,0.09043452,0.1210897,0.09990069,0.1095335,0.1088278,0.1030798,0.1097087,0.1052937,0.1255144,0.05234868,0.05625769,0.06733103
0.1236884,0.10972,0.08863947,0.09335491,0.1129757,0.09467868,0.090149,0.08997468,0.09803444,0.107561,0.09250646,0.09213015,0.1059253,0.1054742,0.0863649,0.07188284,0.04422715,0.0796519,0.08853603,0.1193425,0.09817855,0.10767,0.1071025,0.1011251,0.1080584,0.1037191,0.1231174,0.05115586,0.05518867,0.06598203
0.1216955,0.108105,0.08669116,0.09139636,0.1099938,0.0930123,0.08848547,0.08841223,0.09593292,0.1054051,0.09061186,0.09044696,0.1043063,0.1037569,0.08468285,0.07045366,0.04302038,0.07809862,0.08662469,0.1175658,0.09643835,0.1058145,0.10537,0.09917544,0.1063839,0.1021214,0.1207358,0.04993919,0.0541099,0.06463559
0.1196444,0.1064432,0.08472455,0.08941506,0.1069882,0.09135381,0.08681615,0.08685341,0.09384997,0.1032425,0.08871597,0.08878627,0.1026689,0.1020435,0.08299457,0.0690332,0.04182034,0.07654817,0.08470705,0.1157655,0.0946893,0.1039691,0.1036335,0.0972326,0.104686,0.1005023,0.1183761,0.04870399,0.05302511,0.06330119
0.1175414,0.1047361,0.08275337,0.08742757,0.103975,0.08970513,0.08514322,0.08529449,0.09179063,0.1010794,0.08682221,0.08715012,0.1010145,0.1003359,0.08130428,0.06762362,0.04062945,0.07500386,0.08279131,0.1139478,0.0929422,0.102136,0.1018971,0.09529958,0.1029677,0.09886495,0.1160461,0.04745673,0.05193949,0.06198745
0.1153955,0.1029871,0.08079182,0.08545212,0.1009746,0.08806766,0.08346918,0.08373105,0.08975954,0.09892217,0.08493455,0.08553983,0.09934579,0.0986375,0.07961688,0.06622716,0.03944987,0.07346871,0.08088612,0.1121176,0.09120699,0.1003168,0.1001649,0.09337978,0.1012328,0.09721306,0.1137528,0.04620402,0.05085858,0.06070035
0.1132166,0.1011999,0.07885176,0.08350486,0.09800937,0.0864416,0.08179562,0.08215675,0.08775932,0.09677618,0.08305629,0.08395556,0.0976652,0.09695202,0.0779366,0.06484528,0.03828266,0.0719447,0.07899941,0.1102782,0.0894902,0.09851246,0.09843946,0.09147612,0.09948532,0.09555018,0.1115003,0.04495148,0.04978682,0.05944178
