"wavenumber","intensity","File"
1025.944,0.9521525,"./Lazar_omnic_10.CSV_breakoff.csv"
1033.658,0.9854997,"./Lazar_omnic_10.CSV_breakoff.csv"
1041.372,1,"./Lazar_omnic_10.CSV_breakoff.csv"
1049.086,0.9318174,"./Lazar_omnic_10.CSV_breakoff.csv"
1056.8,0.8532721,"./Lazar_omnic_10.CSV_breakoff.csv"
1064.514,0.8235087,"./Lazar_omnic_10.CSV_breakoff.csv"
1072.228,0.8096955,"./Lazar_omnic_10.CSV_breakoff.csv"
1079.941,0.7535502,"./Lazar_omnic_10.CSV_breakoff.csv"
1087.655,0.6644036,"./Lazar_omnic_10.CSV_breakoff.csv"
1095.369,0.5654444,"./Lazar_omnic_10.CSV_breakoff.csv"
1103.083,0.4766482,"./Lazar_omnic_10.CSV_breakoff.csv"
1110.797,0.4133639,"./Lazar_omnic_10.CSV_breakoff.csv"
1118.511,0.3713859,"./Lazar_omnic_10.CSV_breakoff.csv"
1126.225,0.3509406,"./Lazar_omnic_10.CSV_breakoff.csv"
1133.938,0.3349786,"./Lazar_omnic_10.CSV_breakoff.csv"
1141.652,0.3315003,"./Lazar_omnic_10.CSV_breakoff.csv"
1149.366,0.3173583,"./Lazar_omnic_10.CSV_breakoff.csv"
1157.08,0.2636428,"./Lazar_omnic_10.CSV_breakoff.csv"
1164.794,0.1871248,"./Lazar_omnic_10.CSV_breakoff.csv"
1172.508,0.09242961,"./Lazar_omnic_10.CSV_breakoff.csv"
1180.222,0.02667074,"./Lazar_omnic_10.CSV_breakoff.csv"
1187.936,0,"./Lazar_omnic_10.CSV_breakoff.csv"
1195.649,0.01511424,"./Lazar_omnic_10.CSV_breakoff.csv"
1203.363,0.05727028,"./Lazar_omnic_10.CSV_breakoff.csv"
1211.077,0.09974591,"./Lazar_omnic_10.CSV_breakoff.csv"
1218.791,0.1372758,"./Lazar_omnic_10.CSV_breakoff.csv"
1226.505,0.1766192,"./Lazar_omnic_10.CSV_breakoff.csv"
1234.219,0.2159448,"./Lazar_omnic_10.CSV_breakoff.csv"
1241.933,0.2452795,"./Lazar_omnic_10.CSV_breakoff.csv"
1249.646,0.2553498,"./Lazar_omnic_10.CSV_breakoff.csv"
1257.36,0.2502648,"./Lazar_omnic_10.CSV_breakoff.csv"
1265.074,0.2339762,"./Lazar_omnic_10.CSV_breakoff.csv"
1272.788,0.2162249,"./Lazar_omnic_10.CSV_breakoff.csv"
1280.502,0.2064627,"./Lazar_omnic_10.CSV_breakoff.csv"
1288.216,0.2064849,"./Lazar_omnic_10.CSV_breakoff.csv"
1295.93,0.2107148,"./Lazar_omnic_10.CSV_breakoff.csv"
